"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,11,9,11,0,5.552
2014,11,9,13,0,5.655
2014,11,9,15,0,5.552
2014,11,9,17,0,5.347
2014,11,9,19,0,3.472
2014,11,9,21,0,3.788
2014,11,9,23,0,3.998
2014,11,10,1,0,4.207
2014,11,10,3,0,4.207
2014,11,10,5,0,4.102
2014,11,10,7,0,3.998
2014,11,10,9,0,3.893
2014,11,10,11,0,3.893
2014,11,10,13,0,3.788
2014,11,10,15,0,3.788
2014,11,10,17,0,3.788
2014,11,10,19,0,3.788
2014,11,10,21,0,3.683
2014,11,10,23,0,3.578
2014,11,11,1,0,3.472
2014,11,11,3,0,3.367
2014,11,11,5,0,3.261
2014,11,11,7,0,3.155
2014,11,11,9,0,3.049
2014,11,11,11,0,2.943
2014,11,11,13,0,2.837
2014,11,11,15,0,2.73
2014,11,11,17,0,2.624
2014,11,11,19,0,2.517
2014,11,11,21,0,2.303
2014,11,11,23,0,2.195
2014,11,12,1,0,2.088
2014,11,12,3,0,1.98
2014,11,12,5,0,1.872
2014,11,12,7,0,1.872
2014,11,12,9,0,1.764
2014,11,12,11,0,1.656
2014,11,12,13,0,1.656
2014,11,12,15,0,1.656
2014,11,12,17,0,1.656
2014,11,12,19,0,1.656
2014,11,12,21,0,1.548
2014,11,12,23,0,1.548
2014,11,13,1,0,1.439
2014,11,13,3,0,1.439
2014,11,13,5,0,1.439
2014,11,13,7,0,1.439
2014,11,13,9,0,1.33
2014,11,13,11,0,1.33
2014,11,13,13,0,1.439
2014,11,13,15,0,1.439
2014,11,13,17,0,1.439
2014,11,13,19,0,1.439
2014,11,13,21,0,1.439
2014,11,13,23,0,1.439
2014,11,14,1,0,1.439
2014,11,14,3,0,1.33
2014,11,14,5,0,1.33
2014,11,14,7,0,1.33
2014,11,14,9,0,1.221
2014,11,14,11,0,1.221
2014,11,14,13,0,1.221
2014,11,14,15,0,1.221
2014,11,14,17,0,1.221
2014,11,14,19,0,1.221
2014,11,14,21,0,1.112
2014,11,14,23,0,1.112
2014,11,15,1,0,1.112
2014,11,15,3,0,1.112
2014,11,15,5,0,1.003
2014,11,15,7,0,1.003
2014,11,15,9,0,1.003
2014,11,15,11,0,1.003
2014,11,15,13,0,0.893
2014,11,15,15,0,0.893
2014,11,15,17,0,0.893
2014,11,15,19,0,0.893
2014,11,15,21,0,0.893
2014,11,15,23,0,0.893
2014,11,16,1,0,0.893
2014,11,16,3,0,0.893
2014,11,16,5,0,0.893
2014,11,16,7,0,0.893
2014,11,16,9,0,0.893
2014,11,16,11,0,0.893
2014,11,16,13,0,0.893
2014,11,16,15,0,0.893
2014,11,16,17,0,0.893
2014,11,16,19,0,0.893
2014,11,16,21,0,1.003
2014,11,16,23,0,1.003
2014,11,17,1,0,1.003
2014,11,17,3,0,1.003
2014,11,17,5,0,1.112
2014,11,17,7,0,1.112
2014,11,17,9,0,1.112
2014,11,17,11,0,1.112
2014,11,17,13,0,1.112
2014,11,17,15,0,1.221
2014,11,17,17,0,1.221
2014,11,17,19,0,1.221
2014,11,17,21,0,1.33
2014,11,17,23,0,1.33
2014,11,18,1,0,1.33
2014,11,18,3,0,1.33
2014,11,18,5,0,1.439
2014,11,18,7,0,1.439
2014,11,18,9,0,1.548
2014,11,18,11,0,1.656
2014,11,18,13,0,1.872
2014,11,18,15,0,1.98
2014,11,18,17,0,2.088
2014,11,18,19,0,2.088
2014,11,18,21,0,2.088
2014,11,18,23,0,2.088
2014,11,19,1,0,2.195
2014,11,19,3,0,2.303
2014,11,19,5,0,2.303
2014,11,19,7,0,2.41
2014,11,19,9,0,2.517
2014,11,19,11,0,2.624
2014,11,19,13,0,2.943
2014,11,19,15,0,3.155
2014,11,19,17,0,3.261
2014,11,19,19,0,3.261
2014,11,19,21,0,3.155
2014,11,19,23,0,3.049
2014,11,20,1,0,3.049
2014,11,20,3,0,3.155
2014,11,20,5,0,3.155
2014,11,20,7,0,3.155
2014,11,20,9,0,3.155
2014,11,20,11,0,3.155
2014,11,20,13,0,3.261
2014,11,20,15,0,3.367
2014,11,20,17,0,3.367
2014,11,20,19,0,3.367
2014,11,20,21,0,3.367
2014,11,20,23,0,3.261
2014,11,21,1,0,3.261
2014,11,21,3,0,3.261
2014,11,21,5,0,3.367
2014,11,21,7,0,3.367
2014,11,21,9,0,3.472
2014,11,21,11,0,3.578
2014,11,21,13,0,3.683
2014,11,21,15,0,3.683
2014,11,21,17,0,3.893
2014,11,21,19,0,4.311
2014,11,21,21,0,4.519
2014,11,21,23,0,4.207
2014,11,22,1,0,3.893
2014,11,22,3,0,3.261
2014,11,22,5,0,3.155
2014,11,22,7,0,3.049
2014,11,22,9,0,2.73
2014,11,22,11,0,2.624
2014,11,22,13,0,2.517
2014,11,22,15,0,2.517
2014,11,22,17,0,2.517
2014,11,22,19,0,2.517
2014,11,22,21,0,2.41
2014,11,22,23,0,2.41
2014,11,23,1,0,2.303
2014,11,23,3,0,2.303
2014,11,23,5,0,2.303
2014,11,23,7,0,2.303
2014,11,23,9,0,2.195
2014,11,23,11,0,1.98
2014,11,23,13,0,1.764
2014,11,23,15,0,1.656
2014,11,23,17,0,1.548
2014,11,23,19,0,1.548
2014,11,23,21,0,1.548
2014,11,23,23,0,1.656
2014,11,24,1,0,1.656
2014,11,24,3,0,1.764
2014,11,24,5,0,1.764
2014,11,24,7,0,1.764
2014,11,24,9,0,1.872
2014,11,24,11,0,1.872
2014,11,24,13,0,1.872
2014,11,24,15,0,1.872
2014,11,24,17,0,1.872
2014,11,24,19,0,1.872
2014,11,24,21,0,1.33
2014,11,24,23,0,1.112
2014,11,25,1,0,1.221
2014,11,25,3,0,1.221
2014,11,25,5,0,2.303
2014,11,25,7,0,2.517
2014,11,25,9,0,2.73
2014,11,25,11,0,2.943
2014,11,25,13,0,3.367
2014,11,25,15,0,3.472
2014,11,25,17,0,3.578
2014,11,25,19,0,3.472
2014,11,25,21,0,3.578
2014,11,25,23,0,3.683
2014,11,26,1,0,3.788
2014,11,26,3,0,3.893
2014,11,26,5,0,3.893
2014,11,26,7,0,3.998
2014,11,26,9,0,4.311
2014,11,26,11,0,4.623
2014,11,26,13,0,4.934
2014,11,26,15,0,5.141
2014,11,26,17,0,5.244
2014,11,26,19,0,5.45
2014,11,26,21,0,5.552
2014,11,26,23,0,5.655
2014,11,27,1,0,5.552
2014,11,27,3,0,5.45
2014,11,27,5,0,5.244
2014,11,27,7,0,5.347
2014,11,27,9,0,5.347
2014,11,27,11,0,5.347
2014,11,27,13,0,5.347
2014,11,27,15,0,5.347
2014,11,27,17,0,5.347
2014,11,27,19,0,5.244
2014,11,27,21,0,5.141
2014,11,27,23,0,5.141
2014,11,28,1,0,5.141
2014,11,28,3,0,5.037
2014,11,28,5,0,5.037
2014,11,28,7,0,5.037
2014,11,28,9,0,5.037
2014,11,28,11,0,5.037
2014,11,28,13,0,5.037
2014,11,28,15,0,4.934
2014,11,28,17,0,3.788
2014,11,28,19,0,3.155
2014,11,28,21,0,2.943
2014,11,28,23,0,2.837
2014,11,29,1,0,2.837
2014,11,29,3,0,2.837
2014,11,29,5,0,2.73
2014,11,29,7,0,2.73
2014,11,29,9,0,2.73
2014,11,29,11,0,2.624
2014,11,29,13,0,2.624
2014,11,29,15,0,2.624
2014,11,29,17,0,2.517
2014,11,29,19,0,2.517
2014,11,29,21,0,2.517
2014,11,29,23,0,2.517
2014,11,30,1,0,2.517
2014,11,30,3,0,2.517
2014,11,30,5,0,2.517
2014,11,30,7,0,2.41
2014,11,30,9,0,2.41
2014,11,30,11,0,2.41
2014,11,30,13,0,2.41
2014,11,30,15,0,2.303
2014,11,30,17,0,2.303
2014,11,30,19,0,2.303
2014,11,30,21,0,2.195
2014,11,30,23,0,2.195
2014,12,1,1,0,2.195
2014,12,1,3,0,2.195
2014,12,1,5,0,2.195
2014,12,1,7,0,2.195
2014,12,1,9,0,2.195
2014,12,1,11,0,2.195
2014,12,1,13,0,2.195
2014,12,1,15,0,2.088
2014,12,1,17,0,2.088
2014,12,1,19,0,2.088
2014,12,1,21,0,2.195
